DeathRaceRaceDesc,DeathYearYear,DeathCountyCountyName,Deaths,DeathRate,Population,Deaths_PCT
White,2019,Adams,9,33.2,27105,34.6
White,2020 **,Adams,7,26,26968,26.9
White,2021 **,Adams,10,37.1,26968,38.5
Black,2019,Adams,0,0,241,0
Black,2020 **,Adams,0,0,272,0
Black,2021 **,Adams,0,0,272,0
American Indian or Alaskan Native,2019,Adams,0,0,182,0
American Indian or Alaskan Native,2020 **,Adams,0,0,182,0
American Indian or Alaskan Native,2021 **,Adams,0,0,182,0
Asian or Pacific Islander,2019,Adams,0,0,112,0
Asian or Pacific Islander,2020 **,Adams,0,0,109,0
Asian or Pacific Islander,2021 **,Adams,0,0,109,0
Other,2019,Adams,0,0,0,0
Other,2020 **,Adams,0,0,0,0
Other,2021 **,Adams,0,0,0,0
Unknown,2019,Adams,0,0,0,0
Unknown,2020 **,Adams,0,0,0,0
Unknown,2021 **,Adams,0,0,0,0
White,2019,Allen,8,9.3,86314,15.7
White,2020 **,Allen,14,16.3,85806,27.5
White,2021 **,Allen,19,22.1,85806,37.3
Black,2019,Allen,2,13.6,14724,3.9
Black,2020 **,Allen,6,40.7,14727,11.8
Black,2021 **,Allen,2,13.6,14727,3.9
American Indian or Alaskan Native,2019,Allen,0,0,374,0
American Indian or Alaskan Native,2020 **,Allen,0,0,386,0
American Indian or Alaskan Native,2021 **,Allen,0,0,386,0
Asian or Pacific Islander,2019,Allen,0,0,1038,0
Asian or Pacific Islander,2020 **,Allen,0,0,1061,0
Asian or Pacific Islander,2021 **,Allen,0,0,1061,0
Other,2019,Allen,0,0,0,0
Other,2020 **,Allen,0,0,0,0
Other,2021 **,Allen,0,0,0,0
Unknown,2019,Allen,0,0,0,0
Unknown,2020 **,Allen,0,0,0,0
Unknown,2021 **,Allen,0,0,0,0
White,2019,Ashland,5,9.6,52072,15.6
White,2020 **,Ashland,16,30.8,51975,50
White,2021 **,Ashland,10,19.2,51975,31.3
Black,2019,Ashland,0,0,699,0
Black,2020 **,Ashland,1,136.8,731,3.1
Black,2021 **,Ashland,0,0,731,0
American Indian or Alaskan Native,2019,Ashland,0,0,164,0
American Indian or Alaskan Native,2020 **,Ashland,0,0,171,0
American Indian or Alaskan Native,2021 **,Ashland,0,0,171,0
Asian or Pacific Islander,2019,Ashland,0,0,483,0
Asian or Pacific Islander,2020 **,Ashland,0,0,485,0
Asian or Pacific Islander,2021 **,Ashland,0,0,485,0
Other,2019,Ashland,0,0,0,0
Other,2020 **,Ashland,0,0,0,0
Other,2021 **,Ashland,0,0,0,0
Unknown,2019,Ashland,0,0,0,0
Unknown,2020 **,Ashland,0,0,0,0
Unknown,2021 **,Ashland,0,0,0,0
White,2019,Ashtabula,23,25.2,91415,25.3
White,2020 **,Ashtabula,37,40.7,90918,40.7
White,2021 **,Ashtabula,28,30.8,90918,30.8
Black,2019,Ashtabula,2,43.2,4628,2.2
Black,2020 **,Ashtabula,0,0,4519,0
Black,2021 **,Ashtabula,1,22.1,4519,1.1
American Indian or Alaskan Native,2019,Ashtabula,0,0,384,0
American Indian or Alaskan Native,2020 **,Ashtabula,0,0,388,0
American Indian or Alaskan Native,2021 **,Ashtabula,0,0,388,0
Asian or Pacific Islander,2019,Ashtabula,0,0,661,0
Asian or Pacific Islander,2020 **,Ashtabula,0,0,688,0
Asian or Pacific Islander,2021 **,Ashtabula,0,0,688,0
Other,2019,Ashtabula,0,0,0,0
Other,2020 **,Ashtabula,0,0,0,0
Other,2021 **,Ashtabula,0,0,0,0
Unknown,2019,Ashtabula,0,0,0,0
Unknown,2020 **,Ashtabula,0,0,0,0
Unknown,2021 **,Ashtabula,0,0,0,0
White,2019,Athens,5,8.2,60710,16.1
White,2020 **,Athens,10,16.5,60653,32.3
White,2021 **,Athens,15,24.7,60653,48.4
Black,2019,Athens,0,0,2333,0
Black,2020 **,Athens,0,0,2383,0
Black,2021 **,Athens,0,0,2383,0
American Indian or Alaskan Native,2019,Athens,0,0,347,0
American Indian or Alaskan Native,2020 **,Athens,0,0,345,0
American Indian or Alaskan Native,2021 **,Athens,1,289.9,345,3.2
Asian or Pacific Islander,2019,Athens,0,0,2192,0
Asian or Pacific Islander,2020 **,Athens,0,0,2100,0
Asian or Pacific Islander,2021 **,Athens,0,0,2100,0
Other,2019,Athens,0,0,0,0
Other,2020 **,Athens,0,0,0,0
Other,2021 **,Athens,0,0,0,0
Unknown,2019,Athens,0,0,0,0
Unknown,2020 **,Athens,0,0,0,0
Unknown,2021 **,Athens,0,0,0,0
White,2019,Auglaize,4,9,44666,28.6
White,2020 **,Auglaize,3,6.7,44710,21.4
White,2021 **,Auglaize,7,15.7,44710,50
Black,2019,Auglaize,0,0,487,0
Black,2020 **,Auglaize,0,0,521,0
Black,2021 **,Auglaize,0,0,521,0
American Indian or Alaskan Native,2019,Auglaize,0,0,114,0
American Indian or Alaskan Native,2020 **,Auglaize,0,0,114,0
American Indian or Alaskan Native,2021 **,Auglaize,0,0,114,0
Asian or Pacific Islander,2019,Auglaize,0,0,343,0
Asian or Pacific Islander,2020 **,Auglaize,0,0,335,0
Asian or Pacific Islander,2021 **,Auglaize,0,0,335,0
Other,2019,Auglaize,0,0,0,0
Other,2020 **,Auglaize,0,0,0,0
Other,2021 **,Auglaize,0,0,0,0
Unknown,2019,Auglaize,0,0,0,0
Unknown,2020 **,Auglaize,0,0,0,0
Unknown,2021 **,Auglaize,0,0,0,0
White,2019,Belmont,9,14.3,63112,25
White,2020 **,Belmont,14,22.5,62188,38.9
White,2021 **,Belmont,9,14.5,62188,25
Black,2019,Belmont,0,0,3319,0
Black,2020 **,Belmont,2,62.8,3183,5.6
Black,2021 **,Belmont,1,31.4,3183,2.8
American Indian or Alaskan Native,2019,Belmont,0,0,123,0
American Indian or Alaskan Native,2020 **,Belmont,0,0,130,0
American Indian or Alaskan Native,2021 **,Belmont,0,0,130,0
Asian or Pacific Islander,2019,Belmont,0,0,425,0
Asian or Pacific Islander,2020 **,Belmont,1,232,431,2.8
Asian or Pacific Islander,2021 **,Belmont,0,0,431,0
Other,2019,Belmont,0,0,0,0
Other,2020 **,Belmont,0,0,0,0
Other,2021 **,Belmont,0,0,0,0
Unknown,2019,Belmont,0,0,0,0
Unknown,2020 **,Belmont,0,0,0,0
Unknown,2021 **,Belmont,0,0,0,0
White,2019,Brown,13,30.5,42577,26
White,2020 **,Brown,15,35.3,42476,30
