County,provider_count,ratio,z-score
Adams,46,600:01:00,0.27
Allen,248,410:01:00,-0.24
Ashland,126,420:01:00,-0.19
Ashtabula,190,510:01:00,0.07
Athens,366,180:01:00,-2.33
Auglaize,24,"1,900:1",1.02
Belmont,146,450:01:00,-0.09
Brown,71,610:01:00,0.29
Butler,"1,012",380:01:00,-0.36
Carroll,16,"1,680:1",0.98
Champaign,42,930:01:00,0.66
Clark,236,570:01:00,0.2
Clermont,236,880:01:00,0.62
Clinton,128,330:01:00,-0.65
Columbiana,118,860:01:00,0.6
Coshocton,36,"1,010:1",0.72
Crawford,56,740:01:00,0.47
Cuyahoga,"5,393",230:01:00,-1.53
Darke,38,"1,350:1",0.88
Defiance,91,420:01:00,-0.22
Delaware,290,740:01:00,0.47
Erie,198,370:01:00,-0.41
Fairfield,235,680:01:00,0.4
Fayette,37,770:01:00,0.51
Franklin,"4,750",280:01:00,-1
Fulton,61,690:01:00,0.41
Gallia,125,240:01:00,-1.4
Geauga,230,410:01:00,-0.26
Greene,521,330:01:00,-0.65
Guernsey,89,440:01:00,-0.15
Hamilton,"3,554",230:01:00,-1.5
Hancock,147,510:01:00,0.08
Hardin,20,"1,570:1",0.95
Harrison,3,"5,000:1",1.24
Henry,35,770:01:00,0.51
Highland,48,900:01:00,0.64
Hocking,63,450:01:00,-0.11
Holmes,7,"6,290:1",1.27
Huron,80,720:01:00,0.46
Jackson,62,520:01:00,0.11
Jefferson,150,430:01:00,-0.16
Knox,142,440:01:00,-0.13
Lake,573,400:01:00,-0.28
Lawrence,309,190:01:00,-2.09
Licking,255,700:01:00,0.42
Logan,54,840:01:00,0.58
Lorain,595,520:01:00,0.11
Lucas,"1,617",260:01:00,-1.13
Madison,30,"1,490:1",0.93
Mahoning,943,240:01:00,-1.39
Marion,130,500:01:00,0.04
Medina,266,680:01:00,0.4
Meigs,26,870:01:00,0.61
Mercer,43,960:01:00,0.68
Miami,138,780:01:00,0.52
Monroe,4,"3,400:1",1.18
Montgomery,"1,703",310:01:00,-0.75
Morgan,26,550:01:00,0.17
Morrow,21,"1,690:1",0.98
Muskingum,160,540:01:00,0.14
Noble,17,840:01:00,0.59
Ottawa,39,"1,030:1",0.73
Paulding,10,"1,860:1",1.02
Perry,56,650:01:00,0.35
Pickaway,89,660:01:00,0.37
Pike,268,100:01:00,-5.03
Portage,366,440:01:00,-0.12
Preble,37,"1,100:1",0.77
Putnam,20,"1,680:1",0.98
Richland,515,230:01:00,-1.45
Ross,377,200:01:00,-1.89
Sandusky,75,780:01:00,0.52
Scioto,471,160:01:00,-2.82
Seneca,81,680:01:00,0.4
Shelby,44,"1,100:1",0.77
Stark,"1,154",320:01:00,-0.69
Summit,"1,720",310:01:00,-0.74
Trumbull,363,540:01:00,0.15
Tuscarawas,160,570:01:00,0.22
Union,85,710:01:00,0.43
Van Wert,31,910:01:00,0.64
Vinton,13,"1,000:1",0.71
Warren,606,390:01:00,-0.31
Washington,119,500:01:00,0.05
Wayne,426,270:01:00,-1.06
Williams,31,"1,180:1",0.81
Wood,257,510:01:00,0.07
Wyandot,13,"1,670:1",0.97
