DeathFentanylAnaloguesIndFentanylAnalogues,DeathCountyCountyName,Deaths,DeathAgeAdjustedRate11
Yes,Adams,10,47.5
No,Adams,505,1415.2
Yes,Allen,21,22.8
No,Allen,1337,988
Yes,Ashland,10,22.4
No,Ashland,714,946.8
Yes,Ashtabula,29,32.4
No,Ashtabula,1515,1108.1
Yes,Athens,16,29
No,Athens,631,995.7
Yes,Auglaize,7,N/A
No,Auglaize,602,931.4
Yes,Belmont,10,17.3
No,Belmont,1123,1110.6
Yes,Brown,22,57.5
No,Brown,658,1109.8
Yes,Butler,171,48.4
No,Butler,4050,917.6
Yes,Carroll,0,N/A
No,Carroll,399,957.1
Yes,Champaign,11,35.1
No,Champaign,491,920.3
Yes,Clark,70,60.3
No,Clark,2063,1105.6
Yes,Clermont,70,35.5
No,Clermont,2340,899.2
Yes,Clinton,18,52.2
No,Clinton,559,1036.5
Yes,Columbiana,16,19.5
No,Columbiana,1610,1067.8
Yes,Coshocton,9,N/A
No,Coshocton,541,1070.7
Yes,Crawford,8,N/A
No,Crawford,715,1137.1
Yes,Cuyahoga,463,39.1
No,Cuyahoga,15505,906.7
Yes,Darke,12,30.5
No,Darke,717,938.1
Yes,Defiance,7,N/A
No,Defiance,479,917.5
Yes,Delaware,31,16
No,Delaware,1493,675.1
Yes,Erie,18,29.4
No,Erie,1118,948.1
Yes,Fairfield,52,35.7
No,Fairfield,1766,926
Yes,Fayette,10,41.8
No,Fayette,431,1186.5
Yes,Franklin,725,54.1
No,Franklin,11145,873.6
Yes,Fulton,8,N/A
No,Fulton,537,916.3
Yes,Gallia,16,63.5
No,Gallia,422,1032.6
Yes,Geauga,12,15.7
No,Geauga,1084,745.6
Yes,Greene,43,26.2
No,Greene,1868,847.3
Yes,Guernsey,8,N/A
No,Guernsey,649,1223.4
Yes,Hamilton,355,46.1
No,Hamilton,8679,883
Yes,Hancock,17,24.5
No,Hancock,902,909.6
Yes,Hardin,14,52
No,Hardin,472,1263.8
Yes,Harrison,1,N/A
No,Harrison,288,1237.4
Yes,Henry,6,N/A
No,Henry,365,938.3
Yes,Highland,17,43.4
No,Highland,628,1063.6
Yes,Hocking,14,58.7
No,Hocking,423,1116
Yes,Holmes,1,N/A
No,Holmes,416,857.7
Yes,Huron,23,49.4
No,Huron,711,950.5
Yes,Jackson,6,N/A
No,Jackson,513,1298.7
Yes,Jefferson,12,23.1
No,Jefferson,1167,1214.1
Yes,Knox,11,21.3
No,Knox,804,962.3
Yes,Lake,62,30.2
No,Lake,3024,864.3
Yes,Lawrence,49,90
No,Lawrence,1043,1304.9
Yes,Licking,42,26.2
No,Licking,2136,979.5
Yes,Logan,2,N/A
No,Logan,617,1005.9
Yes,Lorain,127,44.5
No,Lorain,3913,906.2
